公司名稱,股票代碼,產業類別,2020範疇一,2020範疇二,2020範疇三,2021範疇一,2021範疇二,2021範疇三,2020能源使用,2020可再生能源使用,2020不可再生能源使用,2020能源直接使用,2020能源間接使用,2021能源使用,2021可再生能源使用,2021不可再生能源使用,2021能源直接使用,2021能源間接使用,2020用水量(t),2020製程用水回收率(%),2020總結水量(t),2021用水量(t),2021製程用水回收率(%),2021總結水量(t),2020廢棄物產生量,2020一般廢棄物產生量,2020有害廢棄物產生量,2020廢棄物回收率(%),2021廢棄物產生量,2021一般廢棄物產生量,2021有害廢棄物產生量,2021廢棄物回收率(%),2020營收,2020淨利(稅前),2020資本支出,2021營收,2021淨利(稅前),2021資本支出
文曄,3036,電子通路與零組件業,200.4,1015.02,nan,144.7,1038.55,190.95,1904214,nan,nan,nan,nan,2068826,nan,nan,nan,nan,17010,nan,本欄先以nan處理,11140,nan,本欄先以nan處理,6.492,nan,nan,nan,118.33,nan,nan,nan,"353,152,195","4,798,769","-257,970","447,896,117","10,179,825","-992,868"
至上,8112,電子通路與零組件業,nan,209.58,nan,3.393,232.317,1500.392,1502928,nan,nan,nan,nan,1424606.4,nan,nan,nan,nan,1566,nan,本欄先以nan處理,833,nan,本欄先以nan處理,nan,nan,nan,nan,nan,nan,nan,nan,"137,509,979","2,331,252","-20,915","208,738,834","4,165,629","1,839,279"
益登,3048,電子通路與零組件業,nan,464.9,nan,nan,440.59,nan,926097,nan,nan,nan,nan,865600,nan,nan,nan,nan,3100,nan,本欄先以nan處理,3020,nan,本欄先以nan處理,1.02,1.02,0,nan,9.07,9.07,0,nan,"108,522,967","908,473","-120,641","108,236,723","1,423,254","-142,170"
台達電,2308,電子通路與零組件業,14183,163628,nan,17808,133207,nan,634473330,310322000,252958000,nan,nan,712516720,386545000,246907000,nan,nan,3788600,11.90%,本欄先以nan處理,4208900,11.60%,本欄先以nan處理,39447,35759.7,3687.3,nan,50060.9,46042.2,4018.7,nan,"282,605,493","34,275,283","-19,104,772","314,670,796","35,627,547","-26,481,259"
群光,2385,電子通路與零組件業,5793.01,83606,106682.95,7237.24,90208.3,"21,849,949.40",123353100,nan,nan,nan,nan,139168100,nan,nan,nan,nan,1405417.49,nan,本欄先以nan處理,1632816.64,nan,本欄先以nan處理,3799.32,3616.03,183.29,nan,3984.98,3718.27,266.71,nan,"95,082,227","8,218,190","-1,628,724","107,474,079","9,451,621","-2,469,172"
正崴,2392,電子通路與零組件業,86888,227889,236578,11802,234489,246291,6840842000,nan,nan,nan,nan,18082440000,nan,nan,nan,nan,4250,7.01%,本欄先以nan處理,3365820,4.56%,本欄先以nan處理,6038,208,1991,nan,4995.5,1463,1843.5,nan,"89,552,100","2,583,835","-7,181,302","86,800,735","2,153,467","22,370"
華新,1605,重工業,190293.61,402295.7811,nan,201262.0193,414803.7384,nan,2319833000,nan,nan,709977000,1609856000,2428650000,nan,nan,773725000,1654925000,16291210,90.92%,本欄先以nan處理,16409420,90.82%,本欄先以nan處理,245439,nan,nan,96.22%,198733.87,127038,71695.87,98.24%,"112,546,603","9,250,665","-12,309,881","156,664,766","19,122,498","-985,974"
台積電,2330,電子業 - 半導體業,2004841,7459856,5511486,2151937,8152497,6049257,16920000000,1285920000,15634080000,861000000,16058000000,19192000000,1765664000,17426336000,1112000000,18080000000,77300000,86.50%,本欄先以nan處理,82800000,85.40%,本欄先以nan處理,575740,277340,298400,95%,674703,335080,339623,95%,"1,339,254,811","584,777,180","-505,781,714","1,587,415,037","663,126,314","-836,365,863"
日月光控股,3711,電子業 - 半導體業,93996,2199329,21179759,90591,1612049,16231394,4026890800,706105000,3320785800,nan,nan,4397027200,1030137000,3366890200,nan,nan,59398989,57.98%,本欄先以nan處理,63689582,59.38%,本欄先以nan處理,75814,45139,30675,81.84%,82158,52618,29540,84.10%,"476,978,710","35,733,679","-60,946,303","569,997,133","80,335,407","-49,091,569"
聯發科,2454,電子業 - 半導體業,4518,52072,nan,5326,61992,nan,103954700,20790.94,nan,nan,nan,125540800,nan,nan,nan,nan,407000,nan,本欄先以nan處理,382000,nan,本欄先以nan處理,118.87,51.99,66.88,29%,184.23,133.63,50.6,35%,"322,145,988","47,582,686","-6,769,068","493,414,582","126,852,053","-28,924,484"
